source_type,source_id,frame_number,class_id,class_name,confidence,x_min,y_min,x_max,y_max,width,height,area_pixels,frame_width,frame_height,bbox_area_ratio,center_x,center_y,center_x_norm,center_y_norm,position_region,dominant_color_name,dom_r,dom_g,dom_b,timestamp_sec,ingestion_date,detection_id,run_id
video,webcam_0,1,0,person,0.7612109780311584,90,93,630,479,540,386,208440,640,480,0.678515625,360.0,286.0,0.5625,0.5958333333333333,middle-center,black,30,20,18,285518.518,2026-04-26T23:01:02Z,8ec158d6ec23784ce83a02f8c8051eb2372dd4ad,20260426_230059_2ae50591
video,webcam_0,2,0,person,0.920773983001709,109,94,640,479,531,385,204435,640,480,0.665478515625,374.5,286.5,0.58515625,0.596875,middle-center,red,87,70,70,285518.9513333,2026-04-26T23:01:02Z,4a464d94b6e40fceaa4de0ed100d5b554eb2fab1,20260426_230059_2ae50591
video,webcam_0,3,0,person,0.9208226799964905,106,92,640,479,534,387,206658,640,480,0.67271484375,373.0,285.5,0.5828125,0.5947916666666667,middle-center,red,98,80,82,285519.0846667,2026-04-26T23:01:03Z,92cfe06c77f028c9def52ad46be5e6ccbbe83cd8,20260426_230059_2ae50591
video,webcam_0,4,0,person,0.9248707294464111,109,92,640,479,531,387,205497,640,480,0.668935546875,374.5,285.5,0.58515625,0.5947916666666667,middle-center,red,100,82,84,285519.318,2026-04-26T23:01:03Z,62e45c9de299af74dfc36dee14602ff61fede924,20260426_230059_2ae50591
video,webcam_0,5,0,person,0.9245506525039673,108,93,640,479,532,386,205352,640,480,0.6684635416666667,374.0,286.0,0.584375,0.5958333333333333,middle-center,red,100,82,85,285519.3513333,2026-04-26T23:01:03Z,f26d898afc974505fbc3931a6aa24a2e537eef32,20260426_230059_2ae50591
video,webcam_0,6,0,person,0.9226318001747131,107,90,640,479,533,389,207337,640,480,0.6749251302083333,373.5,284.5,0.58359375,0.5927083333333333,middle-center,red,102,84,87,285519.4846667,2026-04-26T23:01:03Z,ac577ee82cb703d75105c5e349d299bbc1e14e16,20260426_230059_2ae50591
video,webcam_0,7,0,person,0.9258428812026978,108,92,639,479,531,387,205497,640,480,0.668935546875,373.5,285.5,0.58359375,0.5947916666666667,middle-center,red,103,85,89,285519.618,2026-04-26T23:01:03Z,7c5d0bc9b37b5f1777cee9aa2e9acdd4361ae141,20260426_230059_2ae50591
video,webcam_0,8,0,person,0.9265568256378174,108,92,639,479,531,387,205497,640,480,0.668935546875,373.5,285.5,0.58359375,0.5947916666666667,middle-center,red,102,85,89,285519.6513333,2026-04-26T23:01:03Z,904777122193adffb85cac6148121fdfc17e3cbb,20260426_230059_2ae50591
video,webcam_0,9,0,person,0.9225239157676697,107,91,639,479,532,388,206416,640,480,0.6719270833333333,373.0,285.0,0.5828125,0.59375,middle-center,red,104,88,91,285519.7846667,2026-04-26T23:01:03Z,f951b6c057b9169204b22d65ff048d54181c9a59,20260426_230059_2ae50591
video,webcam_0,10,0,person,0.9217844605445862,108,92,639,479,531,387,205497,640,480,0.668935546875,373.5,285.5,0.58359375,0.5947916666666667,middle-center,red,105,88,92,285519.918,2026-04-26T23:01:03Z,66c392c85c9ffb5ba119acce03dd4eae861a3f5f,20260426_230059_2ae50591
